,n_ensemble,weights,accuracy_mean_combo,accuracy_std_combo,accuracy_mean_combo_extreme,accuracy_std_combo_extreme,accuracy_mean_split2,accuracy_std_split2,accuracy_mean_split2_extreme,accuracy_std_split2_extreme,accuracy_mean_split4,accuracy_std_split4,accuracy_mean_split4_extreme,accuracy_std_split4_extreme,accuracy_mean_split9,accuracy_std_split9,accuracy_mean_split9_extreme,accuracy_std_split9_extreme
150,15,CLD,0.6873313343328336,0.0664325056457618,0.6683958020989506,0.0586306726239663,0.6994452773613193,0.0531936483838114,0.6959970014992504,0.0591069263948394,0.6943628185907047,0.0529463989852398,0.6925787106446777,0.0617010294177863,0.6873613193403298,0.0510146955564031,0.6891004497751124,0.0372605043273836
500,50,CLD,0.7201649175412295,0.053291049122713,0.6873613193403298,0.0591125591078753,0.6770464767616192,0.0885880075290288,0.6925487256371814,0.054553315703353,0.6942428785607196,0.0775543213565223,0.6908095952023988,0.0610094652665402,0.7028785607196402,0.0638842661985907,0.694287856071964,0.0887192161141951
1000,100,CLD,0.7098200899550224,0.0495457734336537,0.6804347826086957,0.068990262655281,0.6959820089955022,0.06518999838301,0.7114992503748125,0.053892644852767,0.6976911544227885,0.0747574669278515,0.6942578710644678,0.0589439632456047,0.7028935532233882,0.0617081009334006,0.6856221889055473,0.0680236718779518
1500,150,CLD,0.7063568215892054,0.0486382967646571,0.6839130434782609,0.0716363966063196,0.6907946026986507,0.0629166319052764,0.7080509745127437,0.0561442892753702,0.7028935532233882,0.0655053097592625,0.6908095952023988,0.0648475962388688,0.7115292353823088,0.0706825878330029,0.6942578710644678,0.0740333076164418
1990,199,CLD,0.7132683658170914,0.0571782723404044,0.6804497751124438,0.0672536087050663,0.6976911544227886,0.0518685217291542,0.6994452773613193,0.0578772689343246,0.7011694152923538,0.0764800408835356,0.6977061469265367,0.0656631143793747,0.6994602698650675,0.0627047332420619,0.6977061469265367,0.0665065337030509
151,15,DCP,0.6787256371814092,0.0452304668439349,0.6804647676161919,0.0514988302774701,0.7132083958020989,0.0424138633227873,0.6804347826086957,0.043143029867449,0.6977061469265367,0.048396930703638,0.699415292353823,0.0606122006503031,0.6960419790104948,0.0600609645793666,0.6994302848575712,0.0466239327271871
501,50,DCP,0.6942578710644678,0.0709579656969246,0.7012143928035982,0.0533012343258947,0.7132083958020989,0.0827794873797746,0.7097901049475263,0.0551101883308243,0.7028635682158921,0.0756968233048078,0.6925187406296851,0.0784906685520896,0.6959970014992504,0.0534971053584509,0.7028635682158921,0.0813744710582431
1001,100,DCP,0.6942728635682159,0.0555871364191598,0.695952023988006,0.0491900655116388,0.7097901049475263,0.0635641626596676,0.6976761619190406,0.0509232258088535,0.7115142428785608,0.0678245235623667,0.695952023988006,0.084270925136013,0.7011694152923538,0.0511511293409797,0.7080509745127437,0.0681065857377419
1501,150,DCP,0.6890854572713643,0.0508929422749727,0.6907796101949025,0.0491111779712249,0.7114992503748125,0.0628080029220611,0.7080359820089954,0.0562692304430118,0.7132533733133434,0.0716906939359223,0.6907796101949025,0.0815348780533627,0.7063568215892054,0.0537205541956003,0.7028635682158921,0.0749568850956541
1991,199,DCP,0.6925187406296851,0.0398789820169721,0.6976911544227886,0.0489191004194124,0.7201349325337331,0.0679125999041706,0.7080359820089954,0.0572512072348258,0.7167016491754123,0.0816559391023471,0.6942428785607196,0.0756135411189527,0.7046326836581709,0.0575080374715793,0.7218590704647676,0.0744045312411966
152,15,F1,0.6908695652173913,0.0505994058517733,0.7064017991004498,0.0824045003364433,0.6649175412293854,0.0523900327904586,0.6959820089955022,0.0367614006000285,0.6873013493253374,0.0573686054851907,0.6838680659670164,0.0578998334081682,0.6943028485757121,0.0722584828503483,0.666671664167916,0.0511626906268873
502,50,F1,0.6856521739130435,0.0537790273310459,0.6994452773613193,0.0700743915567082,0.7167016491754123,0.0576494521639222,0.7080659670164918,0.0586178281643805,0.7080809595202399,0.0568991294282485,0.6839130434782609,0.0588188472412967,0.7184707646176911,0.0635677871545045,0.7063718140929536,0.0625642947730317
1002,100,F1,0.708095952023988,0.0746081391101862,0.6838830584707646,0.0731060410167555,0.7046176911544227,0.0622668886952035,0.7080659670164917,0.0646468303942027,0.706311844077961,0.0704953321380131,0.6942578710644678,0.0699027919012133,0.7132533733133434,0.0651748426576123,0.7098050974512743,0.0607714301500781
1502,150,F1,0.7029085457271365,0.0625044790466781,0.6804197901049476,0.0540005291764292,0.70976011994003,0.0690939827557533,0.7063418290854573,0.0790114833413256,0.7028635682158921,0.0616261755671937,0.6925337331334334,0.072495007397206,0.7080509745127437,0.0661694794100316,0.714992503748126,0.0620587116446038
1992,199,F1,0.7098200899550224,0.0697858373482029,0.6942578710644678,0.0626122076266599,0.7097451274362818,0.077316216091968,0.7080509745127437,0.0718242372167499,0.7011244377811094,0.0579982977681704,0.6959670164917541,0.0738402955550357,0.7045877061469266,0.0653905961393076,0.7046326836581709,0.062463626975056
153,15,Hostility,0.6735532233883059,0.0509470944428259,0.6804347826086957,0.0558989978297209,0.6891004497751124,0.0619740490612584,0.6890854572713643,0.0611718405022363,0.6925487256371814,0.0665224166110961,0.6735232383808095,0.0433577466933894,0.6804197901049476,0.0526063168362202,0.6873613193403298,0.0495365176657675
503,50,Hostility,0.695952023988006,0.0656865887634198,0.6769715142428785,0.0606318057217575,0.6942578710644678,0.0795962811514135,0.7029085457271365,0.0625044790466781,0.6924887556221889,0.0620378455545112,0.6856371814092953,0.0761779206767451,0.6873613193403298,0.0597378517726646,0.6822188905547226,0.0934835718161535
1003,100,Hostility,0.7011394302848576,0.068462111456117,0.6959670164917541,0.0672564912928118,0.6908095952023988,0.0510628093640296,0.6942278860569715,0.0679473312093387,0.695952023988006,0.0724132692951339,0.6838980509745127,0.0712081272395622,0.7046026986506747,0.0620747503985662,0.690839580209895,0.0847948596421753
1503,150,Hostility,0.7063268365817091,0.069063888352528,0.6976911544227886,0.058596129971831,0.6942728635682158,0.0555871364191598,0.6891004497751124,0.056648868399426,0.699415292353823,0.0694675562021578,0.6856371814092953,0.076906111810627,0.6907796101949025,0.0710643096171672,0.6994452773613193,0.065695433867176
1993,199,Hostility,0.7132533733133434,0.0665849145135106,0.6942728635682159,0.0559203708888602,0.7028935532233882,0.0579826868989527,0.6769865067466266,0.058006653815921,0.7011544227886057,0.0707650862053456,0.6838680659670164,0.0771586732861025,0.6907796101949025,0.0697448591369831,0.6994602698650675,0.0656008004647209
154,15,LSC,0.6977211394302849,0.0608613621772268,0.6804497751124438,0.0374401348603435,0.6856821589205397,0.0499743409500108,0.6856221889055473,0.0781891663747299,0.6598350824587706,0.0597378470692987,0.699415292353823,0.0551556923767696,0.706296851574213,0.0613025447759185,0.6683658170914543,0.0448793281185125
504,50,LSC,0.7063868065967016,0.0718768485992888,0.7063418290854573,0.072640916349508,0.683928035982009,0.0554579431654654,0.7011694152923538,0.0740109127284166,0.6943028485757121,0.0649462733886119,0.6908095952023988,0.0698144494294449,0.7080659670164917,0.0680081643687108,0.7063718140929536,0.066870495410366
1004,100,LSC,0.7028635682158921,0.0829572875368201,0.6925337331334334,0.0704149198465621,0.6874062968515742,0.0726575928889344,0.7167166416791604,0.0697974115989584,0.7046026986506746,0.086786698281008,0.6959970014992504,0.0667812886933557,0.7063268365817091,0.0744992732900383,0.6994602698650675,0.063000331078682
1504,150,LSC,0.6925337331334334,0.0802781834598522,0.6959970014992504,0.0763845003057888,0.694287856071964,0.069455967436604,0.7114992503748125,0.0736964791131405,0.7063418290854573,0.0826882387092805,0.7149775112443778,0.0656470834884884,0.7045727136431784,0.0832389492374164,0.6976911544227886,0.0747574669278515
1994,199,LSC,0.6959820089955022,0.0752445705792915,0.7046326836581709,0.0627603604191718,0.6908095952023988,0.0746998132887833,0.7115292353823088,0.0852213299107651,0.704647676161919,0.077028775609314,0.7063568215892054,0.0735707265665463,0.7011394302848576,0.0700714604915737,0.7063268365817091,0.0804928279250939
155,15,N1,0.6718140929535232,0.034881341542939,0.6752923538230885,0.0479111255365685,0.6545577211394302,0.0500473040350393,0.657976011994003,0.0509741710015884,0.6994602698650675,0.0451311219960554,0.6838980509745127,0.0688198668945029,0.6666416791604198,0.0395685662760858,0.6838530734632684,0.0614509242392343
505,50,N1,0.6942578710644678,0.0800617528115995,0.6976911544227886,0.0546590221911344,0.6976911544227886,0.0511471138602849,0.6735232383808095,0.0576980229806763,0.6925187406296851,0.0697154930590399,0.6908095952023988,0.0754422729017047,0.6959820089955022,0.0619757718262344,0.6925187406296851,0.051290947237706
1005,100,N1,0.695952023988006,0.0744375357634358,0.7045877061469266,0.076882302556125,0.6907796101949025,0.0748832977194887,0.6890854572713643,0.0602537935339747,0.7046026986506747,0.0664127006906455,0.701184407796102,0.0659574197394501,0.699415292353823,0.0661803870033651,0.699415292353823,0.0593734476631685
1505,150,N1,0.7011544227886057,0.0683613496067873,0.7011694152923538,0.0677186807411643,0.6994302848575712,0.0791276630524565,0.6942728635682159,0.0642678597520832,0.7011544227886057,0.0694399503191282,0.7046176911544227,0.0651824123397933,0.699415292353823,0.0751213721662398,0.6959820089955022,0.0628686784388988
1995,199,N1,0.7046026986506747,0.0629662534397632,0.699415292353823,0.07105413594642,0.7080659670164918,0.0663487871057881,0.6925487256371814,0.0648250186377748,0.7028785607196402,0.0621148178564504,0.7080659670164917,0.0640694653472777,0.6976911544227886,0.0651995831207108,0.7028785607196402,0.0720828954724652
156,15,N2,0.6839730134932533,0.0471648119564071,0.6805097451274362,0.0640571061539854,0.6943028485757121,0.0347592962640364,0.6805097451274362,0.0762403273985053,0.7098200899550224,0.0528129432121286,0.6683808095952024,0.0520283732365375,0.6855772113943028,0.0497834829308725,0.668455772113943,0.0536058905587765
506,50,N2,0.6822488755622189,0.0504907316859769,0.7046776611694152,0.069258158694706,0.6873763118440779,0.0561003584032622,0.7064017991004498,0.0638588841581561,0.702863568215892,0.0671102843927899,0.6873913043478261,0.0485278942181054,0.6942128935532234,0.0680563359630759,0.699415292353823,0.0748736429664893
1006,100,N2,0.6804497751124438,0.053740948084088,0.704647676161919,0.0655627477230212,0.7097901049475263,0.0748401287236427,0.6960119940029985,0.0647096417887252,0.6994302848575712,0.0714792596710104,0.695952023988006,0.0619005012703811,0.7097901049475263,0.0650091801205927,0.7063418290854573,0.0673315663473549
1506,150,N2,0.6873913043478261,0.0543091782140919,0.7115292353823088,0.0640642860039868,0.7011394302848576,0.0797444495433552,0.7029085457271365,0.0692719667864727,0.7046026986506747,0.0779920722956391,0.6856221889055473,0.0579986465664131,0.7098050974512743,0.0714505159881366,0.7115592203898051,0.0689149478896984
1996,199,N2,0.6925637181409295,0.056780320109586,0.714992503748126,0.0490113867732545,0.7063268365817091,0.0827688153716891,0.704647676161919,0.0652787541542203,0.7114842578710645,0.0772370337773495,0.6994602698650675,0.0530767295431453,0.7028635682158921,0.0834040037743838,0.7098050974512743,0.0677123489775343
157,15,TD_U,0.6839730134932533,0.0751203623054355,0.6528635682158921,0.0390504144842905,0.6822038980509746,0.0458219272136623,0.6787556221889055,0.0485280737029525,0.6770464767616191,0.0654267006021626,0.6891004497751124,0.0318867328536021,0.7028935532233882,0.0363083186256961,0.6770014992503748,0.0414280480202295
507,50,TD_U,0.6752773613193404,0.073685666026222,0.6580059970014992,0.0329113801786707,0.7046026986506747,0.0649988929728674,0.6718140929535232,0.0446881307978811,0.6873313343328336,0.0669895073612649,0.6925937031484258,0.0538920400841123,0.7029385307346327,0.067196244581675,0.6873313343328336,0.0590281642924732
1007,100,TD_U,0.6683208395802099,0.0757385172348014,0.6718140929535232,0.0309289665585091,0.7028785607196402,0.07461585133434,0.6925487256371814,0.0524701380199949,0.6890554722638681,0.0677258457910592,0.6873613193403298,0.0452230802437375,0.6994752623688156,0.0674669956648958,0.6873613193403298,0.0528042601315413
1507,150,TD_U,0.6855922038980509,0.072968636649317,0.6838980509745127,0.033085886159631,0.7063268365817091,0.073747320531309,0.6891004497751124,0.0367584961289982,0.6942428785607196,0.0653317682524896,0.6873613193403298,0.0531549436374913,0.704647676161919,0.0629607066622028,0.6856221889055473,0.0489666338626146
1997,199,TD_U,0.6907796101949025,0.0664714046432963,0.6856221889055473,0.0388063880084941,0.6960119940029985,0.0821659890096725,0.6856371814092953,0.0510634421382676,0.6873313343328336,0.0715491618582408,0.6925637181409295,0.0554560381877886,0.7080809595202399,0.0642596795141567,0.6856221889055473,0.0504615082225744
158,15,Uniform,0.6753223388305847,0.0468771864026343,0.6908095952023988,0.048448978159394,0.7028785607196402,0.0467561126420608,0.7063718140929536,0.0196027344835858,0.7236731634182909,0.0290809359845424,0.7045577211394303,0.0455655401591531,0.68904047976012,0.0421592497657229,0.6890554722638681,0.0387642122025751
508,50,Uniform,0.6994452773613193,0.031761850074831,0.6890704647676162,0.0404637371808987,0.7132833583208396,0.0225390118116299,0.7149775112443778,0.042660799935806,0.7063268365817091,0.0357345076672817,0.7011394302848576,0.038619428134108,0.6942728635682159,0.0460848995179758,0.6959970014992504,0.0426791778259849
1008,100,Uniform,0.7149475262368815,0.0442501976604287,0.706311844077961,0.03794164034456,0.7063268365817091,0.0246598545625445,0.7150074962518741,0.0324455412756982,0.6976611694152923,0.0444571788650289,0.7114842578710644,0.039760511427878,0.7028785607196402,0.0297590153081069,0.7046026986506746,0.0290424669535325
1508,150,Uniform,0.7046026986506747,0.035386501416026,0.7011244377811094,0.0347653581919164,0.7114842578710645,0.0347752328295935,0.714992503748126,0.0420764490817106,0.6959670164917541,0.0315184365063883,0.7045727136431784,0.0411026059505722,0.6959670164917541,0.0321024918794886,0.7045727136431784,0.0397234160254606
1998,199,Uniform,0.7132683658170914,0.0279241671039938,0.7011244377811094,0.0331233406379257,0.7045577211394303,0.0412872498398889,0.7080509745127437,0.034391852665571,0.7063268365817091,0.0335905114275061,0.7114842578710645,0.0415876285602824,0.7046176911544227,0.0230853280655704,0.6993853073463269,0.0433875455951066
159,15,kDN,0.7011394302848576,0.0361340490960886,0.6890554722638681,0.0473901577228251,0.6735082458770615,0.0736519926941435,0.68047976011994,0.052805297707088,0.6768965517241379,0.0639629611906814,0.6683358320839581,0.0558578569432507,0.6631934032983509,0.0592248968736392,0.6822038980509746,0.0511845977271459
509,50,kDN,0.7046176911544227,0.0665923239102063,0.6959670164917541,0.0516287552411459,0.6925187406296851,0.0544535083730124,0.7097901049475263,0.0547720249104735,0.6977061469265367,0.0603555960853812,0.69071964017991,0.0777287835249644,0.6873313343328336,0.0577554464918904,0.7028785607196402,0.0675592728911626
1009,100,kDN,0.7011394302848576,0.0633893847095287,0.6994602698650675,0.0605951859102714,0.7046176911544227,0.0592079722429917,0.7132383808095952,0.0786951437581599,0.7080509745127437,0.0675587946215856,0.68904047976012,0.0672837653200836,0.6839130434782609,0.0452509367672081,0.6977061469265367,0.0662265874111723
1509,150,kDN,0.7045877061469266,0.0681726595792478,0.6977211394302849,0.0626662131970647,0.7080659670164917,0.078649555075336,0.7046176911544227,0.0779069700773902,0.7114992503748125,0.0695459611525155,0.6942428785607196,0.0656155323689628,0.6977061469265367,0.0524499999738048,0.6977211394302849,0.0590013265586053
1999,199,kDN,0.7097901049475263,0.0652943461948818,0.6976911544227886,0.0643390332839893,0.7098200899550224,0.0673471587284961,0.7046026986506747,0.0738313949133864,0.7114992503748125,0.0729362502359243,0.6977211394302849,0.0683389872456999,0.6976911544227886,0.0556694093922966,0.697736131934033,0.0622698622519047
