n_ensemble,weights,accuracy_mean,accuracy_std,Dataset
19,Uniform,0.9570600414078674,0.0178929587511956,breast-w
29,Uniform,0.9570807453416148,0.0150597459597779,breast-w
49,Uniform,0.9584886128364388,0.0171894609953191,breast-w
99,Uniform,0.9585300207039336,0.0156843742962956,breast-w
149,Uniform,0.9613871635610766,0.0117225836207953,breast-w
199,Uniform,0.9585300207039336,0.014165031702873,breast-w
19,Uniform,0.996,0.0126491106406735,bodyfat
29,Uniform,0.996,0.0126491106406735,bodyfat
49,Uniform,0.996,0.0126491106406735,bodyfat
99,Uniform,0.996,0.0126491106406735,bodyfat
149,Uniform,0.996,0.0126491106406735,bodyfat
199,Uniform,0.996,0.0126491106406735,bodyfat
19,Uniform,0.7984848484848485,0.1212183482905382,glass1
29,Uniform,0.7896103896103897,0.1183824171842228,glass1
49,Uniform,0.8086580086580086,0.1069146246865344,glass1
99,Uniform,0.7991341991341991,0.1126456504227856,glass1
149,Uniform,0.8036796536796537,0.1163924015758492,glass1
199,Uniform,0.8082251082251082,0.1139386483131082,glass1
19,Uniform,0.732,0.0413118223595457,credit-g
29,Uniform,0.747,0.0346570499481867,credit-g
49,Uniform,0.757,0.0343349514181815,credit-g
99,Uniform,0.758,0.0339280283999986,credit-g
149,Uniform,0.764,0.0333999334663342,credit-g
199,Uniform,0.76,0.0394405318873307,credit-g
19,Uniform,0.7191596638655462,0.0854298570797285,bupa
29,Uniform,0.7132773109243697,0.0811201773522569,bupa
49,Uniform,0.701764705882353,0.0720214315280224,bupa
99,Uniform,0.7220168067226891,0.0761057776044205,bupa
149,Uniform,0.7134453781512605,0.0826667547473928,bupa
199,Uniform,0.719327731092437,0.0896778613053837,bupa
19,Uniform,0.8209178743961353,0.0478854470942751,arrhythmia_cfs
29,Uniform,0.8229951690821256,0.0378056492644638,arrhythmia_cfs
49,Uniform,0.8296618357487923,0.045418735928343,arrhythmia_cfs
99,Uniform,0.8407729468599033,0.0507857924427918,arrhythmia_cfs
149,Uniform,0.8429468599033816,0.0472335705640814,arrhythmia_cfs
199,Uniform,0.8429951690821256,0.0525019014070888,arrhythmia_cfs
19,Uniform,0.6889594676346038,0.0521000468990956,ilpd
29,Uniform,0.7028130671506352,0.0581915100214719,ilpd
49,Uniform,0.7201149425287356,0.0525372445467174,ilpd
99,Uniform,0.7167876588021779,0.042902013904768,ilpd
149,Uniform,0.71497277676951,0.040449776355861,ilpd
199,Uniform,0.7132183908045977,0.0422716679274328,ilpd
19,Uniform,0.7323809523809524,0.1045645085941974,liver-disorders
29,Uniform,0.7457142857142858,0.1090789215949001,liver-disorders
49,Uniform,0.7528571428571429,0.1142074246835977,liver-disorders
99,Uniform,0.7457142857142858,0.1190201026400645,liver-disorders
149,Uniform,0.7461904761904762,0.1137343401351426,liver-disorders
199,Uniform,0.7461904761904762,0.1137343401351426,liver-disorders
19,Uniform,0.9202380952380952,0.0375833666430208,ionosphere
29,Uniform,0.9173015873015872,0.0392708806370775,ionosphere
49,Uniform,0.9173809523809524,0.0413925221738458,ionosphere
99,Uniform,0.9173015873015872,0.0436464644317819,ionosphere
149,Uniform,0.9145238095238096,0.0425984254443768,ionosphere
199,Uniform,0.9145238095238096,0.0425984254443768,ionosphere
19,Uniform,0.7738095238095238,0.06487579465932,sonar
29,Uniform,0.7692857142857144,0.0663299318855792,sonar
49,Uniform,0.7928571428571429,0.0570104285589459,sonar
99,Uniform,0.802142857142857,0.0818842259231071,sonar
149,Uniform,0.8028571428571428,0.0795062236994934,sonar
199,Uniform,0.8028571428571428,0.0795062236994934,sonar
19,Uniform,0.8387096774193548,0.080465750253203,vertebral_column
29,Uniform,0.8387096774193548,0.0588948986564694,vertebral_column
49,Uniform,0.8258064516129032,0.0531143614418428,vertebral_column
99,Uniform,0.8419354838709678,0.0670643704495168,vertebral_column
149,Uniform,0.832258064516129,0.0623285021341481,vertebral_column
199,Uniform,0.832258064516129,0.064156704903984,vertebral_column
19,Uniform,1.0,0.0,breastcancer
29,Uniform,1.0,0.0,breastcancer
49,Uniform,1.0,0.0,breastcancer
99,Uniform,1.0,0.0,breastcancer
149,Uniform,1.0,0.0,breastcancer
199,Uniform,1.0,0.0,breastcancer
19,Uniform,0.6882978723404255,0.0437238424207053,saheart
29,Uniform,0.6862164662349677,0.0418372790563877,saheart
49,Uniform,0.6774283071230343,0.0266493848327119,saheart
99,Uniform,0.6882978723404255,0.0425059342002908,saheart
149,Uniform,0.6753006475485661,0.0291327507096679,saheart
199,Uniform,0.6817761332099908,0.0372875515124387,saheart
19,Uniform,1.0,0.0,steel-plates-fault
29,Uniform,1.0,0.0,steel-plates-fault
49,Uniform,1.0,0.0,steel-plates-fault
99,Uniform,1.0,0.0,steel-plates-fault
149,Uniform,1.0,0.0,steel-plates-fault
199,Uniform,1.0,0.0,steel-plates-fault
19,Uniform,0.708,0.059777364723893,fri_c0_250_50
29,Uniform,0.72,0.0679869268479038,fri_c0_250_50
49,Uniform,0.748,0.0654556677793791,fri_c0_250_50
99,Uniform,0.756,0.0831598193574009,fri_c0_250_50
149,Uniform,0.74,0.090921211313239,fri_c0_250_50
199,Uniform,0.74,0.0869226987360353,fri_c0_250_50
19,Uniform,0.7204204204204204,0.0716443346571537,bands
29,Uniform,0.7423423423423424,0.0457086038252191,bands
49,Uniform,0.736936936936937,0.0504193085160417,bands
99,Uniform,0.7425675675675676,0.0442447113378339,bands
149,Uniform,0.7343093093093093,0.0463381435739089,bands
199,Uniform,0.7289039039039039,0.0461865295061247,bands
19,Uniform,0.740088058419244,0.0424485682314578,contraceptive_NL
29,Uniform,0.7369737972508591,0.0289093411566146,contraceptive_NL
49,Uniform,0.7380047250859108,0.0233567352075953,contraceptive_NL
99,Uniform,0.7328608247422681,0.0316816038903749,contraceptive_NL
149,Uniform,0.742225085910653,0.0330111986613375,contraceptive_NL
199,Uniform,0.7380476804123711,0.0289227680378776,contraceptive_NL
19,Uniform,0.6455555555555555,0.1207486932168636,teaching_assistant_LM
29,Uniform,0.6655555555555556,0.1286683937707919,teaching_assistant_LM
49,Uniform,0.6455555555555555,0.137930023410513,teaching_assistant_LM
99,Uniform,0.6666666666666667,0.1247219128924647,teaching_assistant_LM
149,Uniform,0.6466666666666667,0.1259041375485803,teaching_assistant_LM
199,Uniform,0.6466666666666667,0.1259041375485803,teaching_assistant_LM
19,Uniform,0.8568262411347518,0.0647887991769412,musk1
29,Uniform,0.8653812056737589,0.0352708963531433,musk1
49,Uniform,0.8633421985815601,0.0288298953687863,musk1
99,Uniform,0.8717198581560284,0.040587069075056,musk1
149,Uniform,0.8759751773049645,0.0367131421365345,musk1
199,Uniform,0.8780585106382979,0.0344317549754411,musk1
19,Uniform,0.6646476761619191,0.0646540239440063,diabetic_retinopathy
29,Uniform,0.6698275862068965,0.0465478980622035,diabetic_retinopathy
49,Uniform,0.6724212893553223,0.0497713296782971,diabetic_retinopathy
99,Uniform,0.6802548725637181,0.0442747050857167,diabetic_retinopathy
149,Uniform,0.6828710644677661,0.047582789689077,diabetic_retinopathy
199,Uniform,0.6820014992503748,0.0503253394380058,diabetic_retinopathy
19,Uniform,0.7831945408281287,0.0376884706963235,WineQualityRed_5vs6
29,Uniform,0.779383529956049,0.0283988070586912,WineQualityRed_5vs6
49,Uniform,0.7862132778163312,0.0318183992734183,WineQualityRed_5vs6
99,Uniform,0.7869650705528568,0.0288459449970269,WineQualityRed_5vs6
149,Uniform,0.7930430256766134,0.0373635878694455,WineQualityRed_5vs6
199,Uniform,0.791527874161462,0.0332382870982007,WineQualityRed_5vs6
19,Uniform,0.9716386554621848,0.0186343238071523,vehicle2
29,Uniform,0.9692857142857144,0.0158775533142278,vehicle2
49,Uniform,0.9751820728291316,0.0161814112042416,vehicle2
99,Uniform,0.9728151260504202,0.0167761484013098,vehicle2
149,Uniform,0.9728151260504202,0.0167761484013098,vehicle2
199,Uniform,0.9716386554621848,0.0169033494240216,vehicle2
19,Uniform,0.6359649122807018,0.0533174927742996,contraceptive_NS
29,Uniform,0.6421052631578947,0.0435270036629903,contraceptive_NS
49,Uniform,0.643859649122807,0.0506785123819725,contraceptive_NS
99,Uniform,0.643859649122807,0.040346639323182,contraceptive_NS
149,Uniform,0.6464912280701754,0.0383587396458657,contraceptive_NS
199,Uniform,0.6456140350877193,0.0372620639112842,contraceptive_NS
19,Uniform,0.8015669515669515,0.0556267350281248,spectfheart
29,Uniform,0.7903133903133903,0.0639592502996206,spectfheart
49,Uniform,0.8126780626780625,0.0473419070025181,spectfheart
99,Uniform,0.808974358974359,0.0670422627631709,spectfheart
149,Uniform,0.8163817663817664,0.0519696872010466,spectfheart
199,Uniform,0.7941595441595442,0.0612673630070212,spectfheart
19,Uniform,0.8978947368421052,0.0972205293789216,parkinsons
29,Uniform,0.9131578947368422,0.0711770623687747,parkinsons
49,Uniform,0.908157894736842,0.0844336408342342,parkinsons
99,Uniform,0.908421052631579,0.0845734140120197,parkinsons
149,Uniform,0.9034210526315788,0.0865807692799647,parkinsons
199,Uniform,0.908421052631579,0.0740675076601193,parkinsons
19,Uniform,0.9451790281329924,0.0128885168926591,spambase
29,Uniform,0.9458321492848348,0.0144125756327008,spambase
49,Uniform,0.9473548356540684,0.013483736307846,spambase
99,Uniform,0.9451785545135928,0.0134878240295882,spambase
149,Uniform,0.9449606895898456,0.0139964128366365,spambase
199,Uniform,0.9447418774272996,0.0129961431317132,spambase
19,Uniform,0.7843373493975904,0.0560669036555542,mammographic
29,Uniform,0.7819277108433734,0.048675626589962,mammographic
49,Uniform,0.7855421686746988,0.0519921360086177,mammographic
99,Uniform,0.7807228915662651,0.0467660293269386,mammographic
149,Uniform,0.7831325301204819,0.0447209988982331,mammographic
199,Uniform,0.7855421686746988,0.0494481734027996,mammographic
19,Uniform,0.7355946684894054,0.0688684334214291,diabetes
29,Uniform,0.7459842788790157,0.0558477096671014,diabetes
49,Uniform,0.7524948735475052,0.0532863257815438,diabetes
99,Uniform,0.7629357484620642,0.0561831226389218,diabetes
149,Uniform,0.7551264524948735,0.0560231009269944,diabetes
199,Uniform,0.7551093643198906,0.0551648148536144,diabetes
19,Uniform,0.9420344480994152,0.0121584327524035,sylvine
29,Uniform,0.9441817434210524,0.0129055427806733,sylvine
49,Uniform,0.9443778173732944,0.0132576540273624,sylvine
99,Uniform,0.9467204251949316,0.0117576372435114,sylvine
149,Uniform,0.9467200444688108,0.0122540729053828,sylvine
199,Uniform,0.9461348684210524,0.0134761620876457,sylvine
19,Uniform,0.760107926718665,0.0251818979704916,yeast1
29,Uniform,0.7601396698712135,0.027922153944759,yeast1
49,Uniform,0.7661799383275893,0.0283109190184222,yeast1
99,Uniform,0.7688962452385271,0.0234196087567333,yeast1
149,Uniform,0.7709096680573191,0.0210313396989548,yeast1
199,Uniform,0.7722564846725921,0.0247332227005485,yeast1
19,Uniform,0.8554112554112553,0.0864344614660425,glass0
29,Uniform,0.8692640692640692,0.075947676007849,glass0
49,Uniform,0.869047619047619,0.0856081204916815,glass0
99,Uniform,0.8740259740259739,0.0732300129718972,glass0
149,Uniform,0.8740259740259739,0.0732300129718972,glass0
199,Uniform,0.8740259740259739,0.0732300129718972,glass0
19,Uniform,0.6318994716163122,0.0551076564750874,hill_valley_without_noise_traintest
29,Uniform,0.6492141986180735,0.0548501671424995,hill_valley_without_noise_traintest
49,Uniform,0.6409429616583119,0.0658543549519282,hill_valley_without_noise_traintest
99,Uniform,0.6459287359436391,0.0618495404158288,hill_valley_without_noise_traintest
149,Uniform,0.6483877523370818,0.0583415896305421,hill_valley_without_noise_traintest
199,Uniform,0.6467348597750983,0.0642486158283904,hill_valley_without_noise_traintest
19,Uniform,0.9905215275573892,0.0097653878963236,banknote_authentication
29,Uniform,0.9905215275573892,0.0097653878963236,banknote_authentication
49,Uniform,0.9890616735427906,0.0104692379924729,banknote_authentication
99,Uniform,0.9890616735427906,0.0104692379924729,banknote_authentication
149,Uniform,0.9890616735427906,0.0104692379924729,banknote_authentication
199,Uniform,0.987601819528192,0.0137894985646757,banknote_authentication
19,Uniform,0.9058136509892516,0.0132978519871584,phoneme
29,Uniform,0.9093304579995892,0.0130764438901902,phoneme
49,Uniform,0.9108088587663448,0.0127380126787302,phoneme
99,Uniform,0.912103101252824,0.0121157997967397,phoneme
149,Uniform,0.9108085164647086,0.0134068518785029,phoneme
199,Uniform,0.9113650989251728,0.0133283516955722,phoneme
19,Uniform,0.6536363636363636,0.08336913831353,teaching_assistant_LH
29,Uniform,0.6736363636363636,0.0796514445385637,teaching_assistant_LH
49,Uniform,0.6736363636363636,0.0796514445385637,teaching_assistant_LH
99,Uniform,0.6636363636363636,0.0673518508208875,teaching_assistant_LH
149,Uniform,0.6836363636363636,0.0755512341442299,teaching_assistant_LH
199,Uniform,0.6736363636363636,0.0796514445385637,teaching_assistant_LH
19,Uniform,0.8981884057971014,0.0630441723544444,chatfield_4
29,Uniform,0.9065217391304348,0.0583046958640814,chatfield_4
49,Uniform,0.9021739130434784,0.0557259516669533,chatfield_4
99,Uniform,0.8976449275362318,0.0568675807186894,chatfield_4
149,Uniform,0.8976449275362318,0.0568675807186894,chatfield_4
199,Uniform,0.8978260869565217,0.0529489866105555,chatfield_4
19,Uniform,0.9578007518796992,0.0264563294795547,wdbc
29,Uniform,0.9595551378446115,0.0220193749835882,wdbc
49,Uniform,0.9578007518796992,0.0237306372069346,wdbc
99,Uniform,0.9595551378446115,0.0249328518615797,wdbc
149,Uniform,0.9595551378446115,0.0249328518615797,wdbc
199,Uniform,0.9613095238095236,0.0272343251051579,wdbc
19,Uniform,0.6849438202247191,0.0459262170314597,Yeast_CYTvsNUC
29,Uniform,0.6759176029962547,0.0514720026885257,Yeast_CYTvsNUC
49,Uniform,0.6916354556803995,0.0429255047364648,Yeast_CYTvsNUC
99,Uniform,0.6927715355805243,0.0446526708806141,Yeast_CYTvsNUC
149,Uniform,0.6972284644194756,0.0469491733961425,Yeast_CYTvsNUC
199,Uniform,0.6927590511860174,0.0484021118171478,Yeast_CYTvsNUC
19,Uniform,0.9406756756756756,0.0086516980359888,ring
29,Uniform,0.9414864864864866,0.0080086492486006,ring
49,Uniform,0.9454054054054056,0.0100965230458536,ring
99,Uniform,0.9448648648648648,0.0092050737113115,ring
149,Uniform,0.9437837837837838,0.0082372104148918,ring
199,Uniform,0.9435135135135136,0.0079769166202445,ring
19,Uniform,0.7891368173810922,0.0256424450396716,titanic
29,Uniform,0.7883734586024662,0.023488288638695,titanic
49,Uniform,0.7891250733998826,0.0288577762033997,titanic
99,Uniform,0.7891368173810922,0.0315311862165782,titanic
149,Uniform,0.7883675866118615,0.0355984121371384,titanic
199,Uniform,0.7906576629477393,0.0335808556146327,titanic
19,Uniform,0.71,0.1742068474878702,teaching_assistant_MH
29,Uniform,0.7290909090909091,0.1697402542199787,teaching_assistant_MH
49,Uniform,0.72,0.1826144181374025,teaching_assistant_MH
99,Uniform,0.7290909090909091,0.1697402542199787,teaching_assistant_MH
149,Uniform,0.72,0.1826144181374025,teaching_assistant_MH
199,Uniform,0.72,0.1826144181374025,teaching_assistant_MH
19,Uniform,0.7538448393711552,0.047571005476578,pima
29,Uniform,0.7565276828434724,0.0457603615027876,pima
49,Uniform,0.759090909090909,0.0510954402514805,pima
99,Uniform,0.7591079972658921,0.0412070394466886,pima
149,Uniform,0.7630211893369788,0.048108518825249,pima
199,Uniform,0.7630382775119617,0.0499345238371301,pima
19,Uniform,0.6207843137254903,0.0490325090843819,contraceptive_LS
29,Uniform,0.6160224089635855,0.0660536103219775,contraceptive_LS
49,Uniform,0.6160084033613445,0.0747027614710388,contraceptive_LS
99,Uniform,0.6207563025210084,0.0759045296894288,contraceptive_LS
149,Uniform,0.6207282913165265,0.077301197645206,contraceptive_LS
199,Uniform,0.6148459383753502,0.0731613362343376,contraceptive_LS
19,Uniform,0.6562115891132573,0.069269507857771,profb
29,Uniform,0.650307287093942,0.069609059700151,profb
49,Uniform,0.6502414398595259,0.0549484649056031,profb
99,Uniform,0.6577041264266901,0.062302849115674,profb
149,Uniform,0.6591747146619842,0.0584812673884883,profb
199,Uniform,0.6696005267778753,0.063031873408131,profb
